iter	Passed	Remaining
0	182	146978
1	365	146987
2	576	154195
3	759	152304
4	937	150256
5	1095	146033
6	1265	144491
7	1424	142117
8	1707	151234
9	1905	151686
10	2077	150156
11	2237	148016
12	2408	146939
13	2570	145425
14	2730	143985
15	2893	142875
16	3057	141908
17	3212	140641
18	3388	140357
19	3541	139197
20	3711	138726
21	3876	138138
22	4041	137584
23	4204	136987
24	4426	138285
25	4617	138528
26	4784	138047
27	4945	137404
28	5112	136986
29	5266	136217
30	5431	135787
31	5590	135216
32	5763	135008
33	5918	134373
34	6086	134073
35	6236	133389
36	6403	133094
37	6567	132731
38	6728	132321
39	6878	131731
40	7047	131499
41	7202	131022
42	7374	130858
43	7522	130274
44	7697	130167
45	7858	129844
46	8026	129617
47	8172	129059
48	8341	128874
49	8494	128429
50	8659	128195
51	8822	127922
52	8988	127705
53	9143	127332
54	9316	127207
55	9469	126823
56	9566	125705
57	9756	125830
58	9936	125802
59	10106	125659
60	10256	125263
61	10425	125109
62	10587	124863
63	10754	124682
64	10908	124356
65	11082	124254
66	11266	124264
67	11445	124217
68	11622	124141
69	11799	124058
70	11956	123778
71	12124	123602
72	12284	123345
73	12462	123282
74	12545	122273
75	12713	122121
76	12878	121924
77	12967	121028
78	13130	120835
79	13293	120641
80	13470	120567
81	13620	120261
82	13789	120116
83	13941	119828
84	14112	119705
85	14276	119523
86	14438	119321
87	14510	118391
88	14682	118287
89	14832	118000
90	14999	117855
91	15163	117679
92	15330	117536
93	15484	117289
94	15673	117307
95	15833	117099
96	16002	116964
97	16159	116745
98	16327	116604
99	16417	115908
100	16588	115790
101	16743	115562
102	16918	115473
103	17065	115190
104	17234	115063
105	17390	114845
106	17552	114663
107	17709	114453
108	17887	114379
109	18038	114136
110	18199	113953
111	18265	113181
112	18424	112991
113	18592	112861
114	18791	112914
115	18946	112698
116	19116	112573
117	19276	112394
118	19475	112436
119	19637	112262
120	19801	112100
121	19958	111896
122	20128	111769
123	20281	111546
124	20449	111408
125	20608	111220
126	20772	111056
127	20931	110871
128	21110	110786
129	21269	110603
130	21439	110469
131	21596	110274
132	21763	110124
133	21918	109917
134	22088	109790
135	22245	109589
136	22411	109437
137	22574	109272
138	22736	109101
139	22899	108937
140	23087	108890
141	23247	108706
142	23328	108160
143	23492	108002
144	23651	107815
145	23821	107686
146	23972	107466
147	24139	107322
148	24296	107133
149	24458	106965
150	24612	106764
151	24781	106626
152	24932	106412
153	25093	106238
154	25242	106017
155	25402	105843
156	25547	105606
157	25721	105490
158	25880	105310
159	26047	105167
160	26219	105040
161	26386	104893
162	26540	104695
163	26708	104553
164	26859	104344
165	27024	104192
166	27192	104047
167	27356	103889
168	27422	103360
169	27585	103203
170	27656	102700
171	27809	102507
172	27956	102289
173	28060	101919
174	28213	101730
175	28364	101533
176	28533	101398
177	28687	101211
178	28847	101045
179	29002	100864
180	29103	100496
181	29258	100314
182	29333	99862
183	29504	99736
184	29650	99529
185	29731	99103
186	29879	98904
187	30032	98725
188	30196	98576
189	30350	98398
190	30519	98270
191	30676	98100
192	30849	97984
193	31002	97802
194	31162	97643
195	31312	97452
196	31478	97310
197	31632	97133
198	31732	96792
199	31899	96655
200	32056	96488
201	32231	96374
202	32396	96232
203	32561	96089
204	32721	95931
205	32888	95791
206	33044	95622
207	33212	95485
208	33375	95334
209	33540	95191
210	33694	95015
211	33782	94654
212	33940	94491
213	34095	94320
214	34184	93968
215	34339	93798
216	34495	93629
217	34669	93511
218	34823	93339
219	34989	93199
220	35155	93057
221	35328	92937
222	35488	92779
223	35657	92646
224	35818	92490
225	35985	92353
226	36144	92191
227	36309	92046
228	36459	91866
229	36617	91703
230	36764	91514
231	36922	91352
232	37071	91166
233	37223	90991
234	37378	90821
235	37546	90685
236	37705	90525
237	37871	90383
238	38027	90216
239	38193	90072
240	38343	89893
241	38509	89749
242	38661	89573
243	38828	89433
244	38981	89259
245	39147	89116
246	39298	88939
247	39462	88790
248	39608	88602
249	39780	88472
250	39936	88304
251	40101	88160
252	40263	88006
253	40425	87853
254	40575	87674
255	40747	87543
256	40904	87380
257	41076	87248
258	41242	87102
259	41405	86951
260	41569	86802
261	41738	86662
262	41896	86501
263	42066	86364
264	42219	86191
265	42385	86045
266	42542	85881
267	42705	85730
268	42855	85552
269	43025	85413
270	43177	85240
271	43347	85102
272	43510	84948
273	43668	84787
274	43826	84625
275	43992	84478
276	44143	84303
277	44303	84144
278	44456	83972
279	44615	83814
280	44771	83647
281	44936	83498
282	45089	83327
283	45256	83182
284	45412	83016
285	45570	82855
286	45730	82697
287	45894	82546
288	46047	82376
289	46212	82225
290	46368	82061
291	46533	81910
292	46692	81752
293	46860	81606
294	47011	81432
295	47170	81273
296	47316	81092
297	47481	80941
298	47634	80771
299	47799	80621
300	47954	80454
301	48124	80313
302	48277	80143
303	48437	79985
304	48592	79819
305	48759	79673
306	48913	79503
307	49091	79374
308	49249	79213
309	49415	79065
310	49573	78902
311	49734	78746
312	49889	78579
313	50060	78439
314	50252	78330
315	50420	78183
316	50573	78013
317	50731	77852
318	50887	77686
319	51047	77528
320	51190	77344
321	51364	77205
322	51516	77034
323	51682	76885
324	51839	76722
325	52001	76566
326	52147	76387
327	52322	76250
328	52473	76078
329	52635	75922
330	52793	75760
331	52957	75607
332	53116	75448
333	53285	75301
334	53435	75129
335	53593	74966
336	53751	74805
337	53910	74645
338	54056	74467
339	54226	74321
340	54382	74157
341	54551	74011
342	54704	73843
343	54871	73693
344	55019	73518
345	55182	73363
346	55334	73194
347	55492	73033
348	55647	72867
349	55813	72716
350	55963	72545
351	56144	72413
352	56298	72246
353	56458	72088
354	56613	71923
355	56760	71748
356	56911	71577
357	57081	71431
358	57231	71259
359	57389	71099
360	57549	70940
361	57713	70786
362	57865	70617
363	58026	70460
364	58173	70286
365	58338	70133
366	58493	69968
367	58651	69808
368	58805	69642
369	58968	69487
370	59123	69322
371	59285	69166
372	59439	69000
373	59602	68846
374	59763	68687
375	59925	68532
376	60077	68363
377	60245	68214
378	60398	68048
379	60563	67894
380	60726	67739
381	60888	67582
382	61040	67415
383	61217	67275
384	61371	67109
385	61526	66946
386	61683	66783
387	61846	66628
388	62000	66463
389	62170	66314
390	62322	66148
391	62483	65990
392	62640	65828
393	62800	65669
